	One_digit_id	Chain_pdbff	Number_of_residues	UA_Active_site	UA_Binding_site	UA_Cross-link	UA_DNA_binding	UA_Glycosylation	UA_Intramembrane	UA_Lipidation	UA_Natural_variant	UA_Repeat	UA_Site	UA_Transmembrane	UA_Zinc_finger	Helices[G,H,I]	HelicesPercent[G,H,I]	Strands[E,B]	StrandsPercent[E,B]	Loops[E,B]	LoopsPercent[E,B]	pH_pHcrystal	⟨Z⟩_Complex_pH7	⟨Z⟩_Monomer_pH7	⟨Z⟩_Complex_pHcrystal	⟨Z⟩_Monomer_pHcrystal	⟨Z²⟩-⟨Z⟩²_Complex_pH7	⟨Z²⟩-⟨Z⟩²_Monomer_pH7	⟨Z²⟩-⟨Z⟩²_Complex_pHcrystal	⟨Z²⟩-⟨Z⟩²_Monomer_pHcrystal	⟨μ⟩_Complex_pH7	⟨μ⟩_Monomer_pH7	⟨μ⟩_Complex_pHcrystal	⟨μ⟩_Monomer_pHcrystal	⟨μ²⟩-⟨μ⟩²_Complex_pH7	⟨μ²⟩-⟨μ⟩²_Monomer_pH7	⟨μ²⟩-⟨μ⟩²_Complex_pHcrystal	⟨μ²⟩-⟨μ⟩²_Monomer_pHcrystal	SASA_Complex	SASA_Monomer	SASA_interface	Number_of_glycans	Number_of_modelled_residues
8186	7x2l_0	A	196	0	0	0	0	1	0	0	28	0	0	0	0	37	0.19	58	0.3	41	0.21	7.0	2.48	2.65	2.48	2.65	0.95	0.46	0.95	0.46	62.51	25.95	62.51	25.95	152.8	54.56	152.8	54.56	9673.3	10350.0	676.7	1	0
8187	7x2l_0	B	119	0	0	0	0	0	0	0	0	0	0	0	0	3	0.03	65	0.55	25	0.21	7.0	2.48	-0.13	2.48	-0.13	0.95	0.53	0.95	0.53	62.5	33.6	62.5	33.6	152.8	96.48	152.8	96.48	5921.1	6696.0	774.9	0	0
8188	7x2m_0	A	196	0	0	0	0	1	0	0	28	0	0	0	0	37	0.19	58	0.3	40	0.2	5.5	1.01	3.62	4.15	4.76	1.32	0.45	2.12	0.67	104.65	69.75	104.91	59.69	362.76	95.28	544.51	88.94	9959.4	10621.7	662.3	1	0
8189	7x2m_0	B	124	0	0	0	0	0	0	0	0	0	0	0	0	9	0.07	59	0.48	24	0.19	5.5	1.01	-2.65	4.15	-0.66	1.32	0.79	2.12	1.4	104.65	74.1	104.91	75.52	362.76	27.08	544.51	66.08	5535.0	6180.6	645.6	0	0
8190	7x2o_0	A	253	0	0	0	0	0	0	0	0	0	0	0	0	26	0.1	93	0.37	62	0.25	7.4	-2.14	-5.09	-2.98	-5.66	2.5	1.34	2.05	0.88	190.14	141.18	195.03	142.31	810.48	329.32	696.55	260.99	12279.6	13171.9	892.3	0	0
8191	7x2o_0	B	226	0	0	0	0	0	0	0	0	0	0	0	0	6	0.03	95	0.42	54	0.24	7.4	-2.14	2.92	-2.98	2.64	2.5	1.12	2.05	1.02	190.14	59.62	195.03	59.52	810.48	131.3	696.55	137.06	9931.5	10774.0	842.5	0	0
8192	7x2t_0	A	757	0	0	0	0	0	0	0	0	0	0	0	0	48	0.06	226	0.3	216	0.29	7.4	2.35	-1.42	0.74	-2.82	4.12	3.16	3.48	2.6	235.38	193.44	242.74	195.24	1992.3	1185.07	1838.16	963.52	31670.2	33017.0	1346.8	0	0
8193	7x2t_0	B	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	103	0.46	63	0.28	7.4	2.35	3.65	0.74	3.41	4.12	1.03	3.48	1.0	235.38	59.37	242.74	58.09	1992.3	464.34	1838.16	470.24	9372.0	10708.3	1336.3	0	2
8194	7x2v_0	A	561	0	16	0	0	0	0	0	30	295	0	0	0	112	0.2	199	0.35	149	0.27	7.5	-7.42	-7.89	-9.78	-9.83	4.14	3.13	2.94	2.16	463.11	327.95	482.72	334.31	2543.54	1345.92	2059.53	1133.29	26499.3	27473.2	973.9	0	4
8195	7x2v_0	B	230	0	0	0	0	0	0	0	0	0	0	0	0	6	0.03	107	0.47	59	0.26	7.5	-7.42	0.43	-9.78	0.03	4.14	0.97	2.94	0.83	463.11	94.0	482.72	91.91	2543.54	188.07	2059.53	174.3	10983.0	11854.4	871.4	0	0
8196	7x2w_0	A	757	0	0	0	0	0	0	0	0	0	0	0	0	55	0.07	226	0.3	205	0.27	7.4	2.3	-1.46	0.72	-2.83	4.09	3.16	3.48	2.58	241.99	196.15	248.6	197.75	1951.6	1164.1	1818.75	956.38	31746.7	33077.3	1330.6	0	0
8197	7x2w_0	B	225	0	0	0	0	0	0	0	0	0	0	0	0	3	0.01	101	0.45	58	0.26	7.4	2.3	3.65	0.72	3.42	4.09	1.04	3.48	1.0	241.99	60.18	248.6	59.07	1951.6	453.96	1818.75	458.77	9464.1	10763.4	1299.3	0	0
8198	7x35_0	A	688	0	0	0	0	0	0	0	0	0	0	0	0	48	0.07	223	0.32	190	0.28	7.4	1.11	-2.64	-0.39	-3.85	4.6	3.46	3.83	2.96	238.37	169.36	246.43	172.68	2905.66	1554.39	2659.03	1296.51	31269.3	32397.1	1127.8	0	17
8199	7x35_0	B	225	0	0	0	0	0	0	0	0	0	0	0	0	6	0.03	104	0.46	56	0.25	7.4	1.11	3.68	-0.39	3.45	4.6	0.99	3.83	0.98	238.37	58.01	246.43	56.97	2905.66	471.25	2659.03	474.29	9655.7	10801.4	1145.7	0	0
8200	7x37_0	A	244	0	0	0	0	0	0	0	0	0	0	0	0	21	0.09	85	0.35	67	0.27	7.4	-3.54	-6.45	-4.4	-7.04	2.7	1.56	2.29	1.2	253.2	175.63	260.14	177.86	1298.79	425.24	1153.55	346.47	12586.8	13474.1	887.3	0	11
8201	7x37_0	B	226	0	0	0	0	0	0	0	0	0	0	0	0	6	0.03	95	0.42	54	0.24	7.4	-3.54	2.94	-4.4	2.65	2.7	1.14	2.29	1.03	253.2	58.96	260.14	58.82	1298.79	116.67	1153.55	121.2	9616.2	10460.5	844.3	0	0
8202	7x38_0	A	688	0	0	0	0	0	0	0	0	0	0	0	0	57	0.08	219	0.32	177	0.26	7.4	1.05	-2.63	-0.45	-3.83	4.17	3.5	3.71	2.93	240.61	182.21	247.21	184.58	2919.5	1693.61	2690.75	1422.03	31249.9	32383.7	1133.8	0	17
8203	7x38_0	B	225	0	0	0	0	0	0	0	0	0	0	0	0	3	0.01	101	0.45	60	0.27	7.4	1.05	3.66	-0.45	3.42	4.17	1.03	3.71	1.0	240.61	60.67	247.21	59.55	2919.5	481.46	2690.75	486.52	9976.5	11094.1	1117.6	0	0
8204	7x3c_0	A	505	0	0	0	0	0	0	0	0	0	0	0	0	36	0.07	140	0.28	141	0.28	7.4	7.7	3.98	6.73	3.18	3.0	1.94	2.79	1.71	143.79	175.84	145.03	176.32	1629.31	1143.74	1494.82	916.4	25808.8	26728.7	919.9	0	0
8205	7x3c_0	B	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	107	0.48	64	0.28	7.4	7.7	3.66	6.73	3.42	3.0	1.04	2.79	1.0	143.79	57.94	145.03	56.84	1629.31	429.2	1494.82	432.35	9810.7	10693.6	882.9	0	0
8206	7x3c_1	A	252	0	0	0	0	0	0	0	0	0	0	0	0	22	0.09	89	0.35	65	0.26	7.4	-0.76	-5.58	-1.6	-6.14	1.64	1.1	1.23	0.67	254.3	147.5	257.24	149.09	511.94	272.98	317.08	189.84	12037.3	12840.8	803.5	0	0
8207	7x3c_1	B	229	0	0	0	0	0	0	0	0	0	0	0	0	6	0.03	112	0.49	61	0.27	7.4	-0.76	4.79	-1.6	4.48	1.64	0.6	1.23	0.51	254.3	56.41	257.24	55.52	511.94	70.46	317.08	69.64	9989.2	10779.1	789.9	0	0
8208	7x3d_0	A	489	0	0	0	0	0	0	0	0	0	0	0	0	40	0.08	142	0.29	139	0.28	7.4	-9.1	-13.58	-10.15	-14.43	2.53	2.23	2.15	1.72	350.06	267.68	355.12	267.97	1353.58	1037.44	1204.64	881.27	24994.7	25876.5	881.8	0	0
8209	7x3d_0	B	231	0	0	0	0	0	0	0	0	0	0	0	0	9	0.04	101	0.44	54	0.23	7.4	-9.1	4.55	-10.15	4.35	2.53	0.45	2.15	0.53	350.06	87.14	355.12	86.15	1353.58	28.73	1204.64	38.26	9587.9	10476.6	888.7	0	0
8210	7x3e_0	A	489	0	0	0	0	0	0	0	0	0	0	0	0	37	0.08	146	0.3	140	0.29	7.4	-9.08	-13.58	-10.14	-14.43	2.54	2.23	2.14	1.72	350.63	267.36	355.57	267.74	1363.78	1031.15	1202.1	878.08	25287.0	26215.4	928.4	0	0
8211	7x3e_0	B	231	0	0	0	0	0	0	0	0	0	0	0	0	3	0.01	102	0.44	60	0.26	7.4	-9.08	4.56	-10.14	4.36	2.54	0.46	2.14	0.53	350.63	84.76	355.57	83.78	1363.78	28.24	1202.1	37.4	9657.3	10558.2	900.9	0	0
8212	7x3f_0	A	463	0	0	0	0	0	0	0	0	0	0	0	0	36	0.08	142	0.31	123	0.27	7.4	-8.91	-13.44	-10.01	-14.36	3.31	2.8	2.84	2.28	370.06	262.35	378.64	265.27	1870.43	1254.59	1730.64	1105.19	25761.6	26624.8	863.2	0	11
8213	7x3f_0	B	231	0	0	0	0	0	0	0	0	0	0	0	0	9	0.04	97	0.42	55	0.24	7.4	-8.91	4.56	-10.01	4.36	3.31	0.46	2.84	0.52	370.06	86.82	378.64	85.82	1870.43	29.49	1730.64	39.41	9650.6	10508.7	858.1	0	0
8214	7x3y_0	A	463	0	0	0	0	0	0	0	0	0	0	0	0	37	0.08	151	0.33	122	0.26	7.4	-8.93	-13.45	-10.03	-14.37	3.24	2.79	2.8	2.27	345.02	243.54	353.29	246.26	1862.97	1275.47	1707.79	1129.79	25979.3	26852.9	873.6	0	11
8215	7x3y_0	B	231	0	0	0	0	0	0	0	0	0	0	0	0	12	0.05	108	0.47	52	0.23	7.4	-8.93	4.55	-10.03	4.36	3.24	0.45	2.8	0.53	345.02	89.9	353.29	88.89	1862.97	30.38	1707.79	40.33	9658.6	10537.9	879.3	0	0
8216	7x40_0	A	757	0	0	0	0	0	0	0	0	0	0	0	0	62	0.08	228	0.3	203	0.27	7.4	2.31	-1.46	0.7	-2.83	4.11	3.19	3.45	2.56	241.94	197.94	248.7	199.12	1970.1	1168.02	1817.14	960.38	31778.5	33043.1	1264.6	0	0
8217	7x40_0	B	225	0	0	0	0	0	0	0	0	0	0	0	0	3	0.01	108	0.48	61	0.27	7.4	2.31	3.64	0.7	3.41	4.11	1.04	3.45	1.0	241.94	59.84	248.7	58.69	1970.1	457.26	1817.14	461.58	9353.7	10595.7	1242.0	0	2
8218	7x42_0	A	757	0	0	0	0	0	0	0	0	0	0	0	0	65	0.09	234	0.31	192	0.25	7.4	2.34	-1.45	0.73	-2.82	4.16	3.19	3.43	2.59	240.05	196.8	246.13	197.77	1920.52	1169.55	1763.87	953.53	33074.2	34352.6	1278.4	0	0
8219	7x42_0	B	225	0	0	0	0	0	0	0	0	0	0	0	0	6	0.03	106	0.47	56	0.25	7.4	2.34	3.66	0.73	3.43	4.16	1.03	3.43	1.0	240.05	61.51	246.13	60.34	1920.52	464.0	1763.87	469.74	9282.3	10560.0	1277.7	0	2
8220	7x46_0	A	223	0	0	0	0	0	0	0	0	0	0	0	0	25	0.11	80	0.36	54	0.24	7.4	-3.85	-6.74	-4.76	-7.43	2.88	1.86	2.55	1.47	238.87	162.9	248.25	167.39	1543.55	384.34	1468.03	316.7	12740.3	13652.1	911.8	0	3
8221	7x46_0	B	226	0	0	0	0	0	0	0	0	0	0	0	0	3	0.01	87	0.38	57	0.25	7.4	-3.85	2.9	-4.76	2.63	2.88	1.11	2.55	1.03	238.87	61.69	248.25	61.59	1543.55	97.51	1468.03	103.42	9710.8	10550.4	839.6	0	0
8222	7x47_0	A	223	0	0	0	0	0	0	0	0	0	0	0	0	25	0.11	78	0.35	59	0.26	7.4	-3.86	-6.76	-4.78	-7.44	2.92	1.84	2.55	1.47	243.62	172.45	252.85	176.47	1450.22	401.03	1363.24	328.6	12634.6	13567.3	932.7	0	3
8223	7x47_0	B	226	0	0	0	0	0	0	0	0	0	0	0	0	6	0.03	98	0.43	55	0.24	7.4	-3.86	2.9	-4.78	2.64	2.92	1.11	2.55	1.03	243.62	56.26	252.85	56.19	1450.22	103.26	1363.24	110.71	9601.7	10471.0	869.3	0	0
8224	7x49_0	A	757	0	0	0	0	0	0	0	0	0	0	0	0	57	0.08	240	0.32	199	0.26	7.4	2.33	-1.44	0.71	-2.82	4.13	3.21	3.49	2.57	243.1	195.44	250.14	197.23	1923.86	1129.3	1785.09	927.2	32016.5	33337.0	1320.5	0	0
8225	7x49_0	B	225	0	0	0	0	0	0	0	0	0	0	0	0	3	0.01	106	0.47	62	0.28	7.4	2.33	3.64	0.71	3.42	4.13	1.03	3.49	1.0	243.1	58.92	250.14	57.7	1923.86	452.89	1785.09	457.02	9279.8	10580.8	1301.0	0	2
8226	7x4i_1	A	194	0	0	0	0	0	0	0	0	0	0	0	0	25	0.13	49	0.25	50	0.26	7.5	0.09	2.19	-0.52	1.89	1.33	0.78	1.21	0.8	80.37	58.45	79.1	55.76	243.62	290.56	178.05	250.25	9579.1	10419.8	840.7	0	0
8227	7x4i_1	B	123	0	0	0	0	0	0	0	0	0	0	0	0	3	0.02	57	0.46	30	0.24	7.5	0.09	-2.05	-0.52	-2.34	1.33	0.52	1.21	0.44	80.37	31.23	79.1	32.83	243.62	36.33	178.05	37.11	5662.1	6586.8	924.7	0	0
8228	7x4k_0	A	463	0	0	0	0	0	0	0	0	0	0	0	0	39	0.08	141	0.3	120	0.26	7.4	-8.88	-13.4	-9.99	-14.36	3.33	2.85	2.84	2.28	354.53	240.48	363.36	242.8	1907.56	1322.42	1740.32	1164.71	26171.9	27075.1	903.2	0	11
8229	7x4k_0	B	231	0	0	0	0	0	0	0	0	0	0	0	0	6	0.03	96	0.42	57	0.25	7.4	-8.88	4.56	-9.99	4.36	3.33	0.46	2.84	0.53	354.53	90.61	363.36	89.67	1907.56	31.3	1740.32	39.93	9953.3	10870.0	916.7	0	0
8230	7x4m_0	A	757	0	0	0	0	0	0	0	0	0	0	0	0	51	0.07	231	0.31	212	0.28	7.4	2.29	-1.46	0.71	-2.83	4.15	3.18	3.43	2.57	239.73	194.87	246.4	196.69	1996.54	1163.15	1832.35	956.1	31894.0	33136.9	1242.9	0	0
8231	7x4m_0	B	225	0	0	0	0	0	0	0	0	0	0	0	0	3	0.01	107	0.48	60	0.27	7.4	2.29	3.65	0.71	3.41	4.15	1.03	3.43	1.0	239.73	58.63	246.4	57.44	1996.54	473.53	1832.35	479.16	9585.3	10857.0	1271.7	0	2
8232	7x5h_0	A	566	0	16	0	0	0	0	0	30	295	0	0	0	139	0.25	210	0.37	129	0.23	7.4	-8.66	-8.7	-10.56	-10.25	3.54	2.7	2.54	1.95	457.21	319.01	470.28	322.23	2041.52	1144.42	1757.47	972.86	25560.4	26583.8	1023.4	0	0
8233	7x5h_0	B	233	0	0	0	0	0	0	0	0	0	0	0	0	12	0.05	113	0.48	49	0.21	7.4	-8.66	-0.06	-10.56	-0.37	3.54	0.67	2.54	0.55	457.21	92.02	470.28	90.81	2041.52	171.09	1757.47	163.53	10771.1	11649.9	878.8	0	0
8234	7x63_0	A	194	0	0	0	0	1	0	0	28	0	0	0	0	36	0.19	58	0.3	39	0.2	8.0	8.65	2.63	6.96	1.96	1.26	0.48	1.52	0.77	118.57	88.36	117.64	88.56	1090.86	160.17	1032.22	179.57	9027.3	10043.2	1015.9	0	0
8235	7x63_0	B	431	0	0	0	0	0	0	0	0	0	0	0	0	37	0.09	225	0.52	71	0.16	8.0	8.65	6.08	6.96	5.08	1.26	0.81	1.52	0.77	118.57	67.93	117.64	66.51	1090.86	182.11	1032.22	157.94	18294.8	19340.6	1045.8	0	4
8236	7x66_0	A	194	0	0	0	0	1	0	0	28	0	0	0	0	28	0.14	58	0.3	46	0.24	6.0	10.14	4.72	13.39	5.9	1.62	0.56	2.48	0.8	106.12	134.3	103.98	126.66	468.34	249.89	1022.49	319.08	9282.9	10361.3	1078.4	0	0
8237	7x66_0	B	434	0	0	0	0	0	0	0	0	0	0	0	0	36	0.08	226	0.52	76	0.18	6.0	10.14	5.42	13.39	7.55	1.62	1.03	2.48	1.74	106.12	67.99	103.99	74.25	468.34	118.28	1022.49	364.02	18586.4	19710.0	1123.6	0	4
8238	7x6a_2	A	1106	0	0	0	0	22	0	0	96	0	4	0	0	196	0.18	284	0.26	266	0.24	8.5	5.0	5.18	-3.54	-2.36	3.04	2.7	6.03	5.27	377.91	454.17	387.83	430.63	9936.22	6068.1	12872.3	9064.9	61241.3	62028.7	787.4	0	11
8239	7x6a_2	B	228	0	0	0	0	0	0	0	0	0	0	0	0	3	0.01	101	0.44	55	0.24	8.5	5.0	-0.17	-3.54	-1.18	3.04	0.59	6.03	0.84	377.91	32.85	387.83	36.95	9936.22	30.04	12872.3	46.83	10178.6	10956.7	778.1	0	0
8240	7x6l_1	A	484	0	0	0	0	6	0	0	2	0	0	0	0	108	0.22	123	0.25	95	0.2	8.0	1.97	-4.33	-2.03	-7.21	3.82	2.92	2.87	1.79	368.09	456.03	383.46	479.27	3525.51	4847.65	2644.91	3414.65	28693.5	29721.2	1027.7	0	0
8241	7x6l_1	B	443	0	0	0	0	0	0	0	0	0	0	0	0	13	0.03	204	0.46	109	0.25	8.0	1.97	6.3	-2.03	5.11	3.82	1.09	2.87	1.08	368.09	46.37	383.46	49.28	3525.51	128.61	2644.91	138.36	20239.4	21221.0	981.6	0	0
8242	7x6o_2	A	488	0	0	0	0	0	0	0	0	0	0	0	0	101	0.21	129	0.26	119	0.24	8.0	7.93	1.59	3.69	-1.45	4.0	3.02	3.06	2.05	332.27	340.17	352.08	366.35	4701.18	5513.72	4004.49	4371.85	23195.7	24051.1	855.4	0	2
8243	7x6o_2	B	443	0	0	0	0	0	0	0	0	0	0	0	0	20	0.05	217	0.49	103	0.23	8.0	7.93	6.3	3.69	5.1	4.0	1.08	3.06	1.07	332.27	51.62	352.08	54.99	4701.18	133.34	4004.49	140.59	19848.5	20669.7	821.2	0	0
8244	7x7d_0	A	194	0	0	0	0	1	0	0	28	0	0	0	0	29	0.15	52	0.27	44	0.23	7.0	4.81	4.15	4.81	4.15	1.14	0.73	1.14	0.73	79.06	83.8	79.06	83.8	342.36	293.48	342.36	293.48	9866.2	10714.0	847.8	0	0
8245	7x7d_0	B	130	0	0	0	0	0	0	0	0	0	0	0	0	9	0.07	66	0.51	26	0.2	7.0	4.81	0.64	4.81	0.64	1.14	0.42	1.14	0.42	79.06	100.87	79.06	100.87	342.36	62.59	342.36	62.59	5875.1	6719.2	844.1	0	0
8246	7x7e_0	A	194	0	0	0	0	1	0	0	28	0	0	0	0	37	0.19	59	0.3	36	0.19	7.0	2.75	2.14	2.75	2.14	1.14	0.72	1.14	0.72	88.19	35.29	88.19	35.29	568.02	202.29	568.02	202.29	9379.5	10159.6	780.1	0	0
8247	7x7e_0	B	130	0	0	0	0	0	0	0	0	0	0	0	0	9	0.07	62	0.48	27	0.21	7.0	2.75	0.64	2.75	0.64	1.14	0.39	1.14	0.39	88.19	100.22	88.19	100.22	568.02	59.41	568.02	59.41	5874.4	6670.0	795.6	0	0
8248	7x7t_0	A	194	0	0	0	0	1	0	0	28	0	0	0	0	15	0.08	43	0.22	64	0.33	7.4	-1.35	1.65	-2.16	1.44	1.33	0.51	0.96	0.5	63.73	41.27	61.87	43.37	189.47	200.21	126.67	171.84	9293.4	10412.7	1119.3	1	7
8249	7x7t_0	B	232	0	0	0	0	0	0	0	0	0	0	0	0	9	0.04	88	0.38	51	0.22	7.4	-1.35	-3.01	-2.16	-3.64	1.33	0.84	0.96	0.46	63.73	16.99	61.87	13.4	189.47	93.95	126.67	54.86	9826.5	10938.3	1111.8	0	0
8250	7x7t_1	A	194	0	0	0	0	1	0	0	28	0	0	0	0	15	0.08	42	0.22	64	0.33	7.4	-0.71	1.65	-1.04	1.44	0.87	0.51	0.84	0.5	90.68	41.14	91.21	43.26	67.7	200.44	85.35	171.46	9587.7	10504.6	916.9	1	7
8251	7x7t_1	B	226	0	0	0	0	0	0	0	0	0	0	0	0	9	0.04	101	0.45	49	0.22	7.4	-0.71	-2.39	-1.04	-2.53	0.87	0.41	0.84	0.39	90.68	25.43	91.21	25.9	67.7	17.3	85.35	15.37	9990.1	10922.0	931.9	0	0
8252	7x7t_2	A	194	0	0	0	0	1	0	0	28	0	0	0	0	15	0.08	41	0.21	65	0.34	7.4	2.54	1.65	2.02	1.44	1.56	0.51	1.54	0.5	71.31	41.14	74.05	43.26	275.82	200.44	260.04	171.46	9604.3	10504.6	900.3	1	7
8253	7x7t_2	B	226	0	0	0	0	0	0	0	0	0	0	0	0	3	0.01	88	0.39	61	0.27	7.4	2.54	0.83	2.02	0.53	1.56	1.15	1.54	1.03	71.31	35.13	74.05	35.14	275.82	219.53	260.04	203.91	9999.2	10903.1	903.9	0	0
8254	7x7u_0	A	194	0	0	0	0	1	0	0	28	0	0	0	0	16	0.08	40	0.21	59	0.3	7.4	0.5	3.68	-0.29	3.46	1.24	0.5	0.93	0.5	107.56	82.25	106.0	83.93	177.01	208.79	145.71	185.3	9498.6	10537.2	1038.6	1	0
8255	7x7u_0	B	232	0	0	0	0	0	0	0	0	0	0	0	0	3	0.01	97	0.42	60	0.26	7.4	0.5	-3.08	-0.29	-3.68	1.24	0.8	0.93	0.43	107.56	17.54	106.0	13.87	177.01	93.92	145.71	53.7	10090.1	11130.8	1040.7	0	0
8256	7x7u_1	A	194	0	0	0	0	1	0	0	28	0	0	0	0	16	0.08	41	0.21	58	0.3	7.4	1.26	3.68	0.91	3.46	0.87	0.5	0.87	0.5	132.23	82.25	132.76	83.93	73.13	208.79	98.78	185.3	9598.2	10537.2	939.0	1	0
8257	7x7u_1	B	226	0	0	0	0	0	0	0	0	0	0	0	0	3	0.01	99	0.44	59	0.26	7.4	1.26	-2.37	0.91	-2.53	0.87	0.43	0.87	0.39	132.23	27.7	132.76	28.3	73.13	23.38	98.78	19.85	10086.4	11047.5	961.1	0	0
8258	7x7u_2	A	194	0	0	0	0	1	0	0	28	0	0	0	0	16	0.08	40	0.21	59	0.3	7.4	4.52	3.68	3.98	3.46	1.66	0.5	1.56	0.5	122.08	82.25	125.04	83.93	505.02	208.79	484.46	185.3	9641.4	10537.2	895.8	1	0
8259	7x7u_2	B	226	0	0	0	0	0	0	0	0	0	0	0	0	3	0.01	87	0.38	62	0.27	7.4	4.52	0.84	3.98	0.54	1.66	1.16	1.56	1.04	122.08	34.48	125.04	34.25	505.02	225.7	484.46	213.85	9994.5	10893.8	899.3	0	0
8260	7x7v_0	A	189	0	0	0	0	2	0	0	9	0	0	0	0	14	0.07	42	0.22	63	0.33	7.4	-1.49	1.54	-2.23	1.42	1.27	0.38	0.91	0.39	65.37	61.72	63.15	60.8	246.3	119.12	168.64	119.41	9430.9	10435.0	1004.1	0	0
8261	7x7v_0	B	232	0	0	0	0	0	0	0	0	0	0	0	0	3	0.01	98	0.42	55	0.24	7.4	-1.49	-3.04	-2.23	-3.65	1.27	0.83	0.92	0.46	65.37	19.0	63.15	15.22	246.3	102.98	168.64	56.87	10193.0	11240.8	1047.8	0	0
8262	7x7v_1	A	189	0	0	0	0	2	0	0	9	0	0	0	0	14	0.07	42	0.22	63	0.33	7.4	-0.91	1.54	-1.15	1.42	0.8	0.38	0.81	0.39	101.8	61.72	101.02	60.8	67.99	119.12	92.53	119.41	9569.3	10435.0	865.7	0	0
8263	7x7v_1	B	226	0	0	0	0	0	0	0	0	0	0	0	0	6	0.03	97	0.43	58	0.26	7.4	-0.91	-2.39	-1.15	-2.54	0.8	0.4	0.81	0.38	101.8	26.68	101.02	27.16	67.99	20.78	92.53	18.14	9972.8	10845.5	872.7	0	0
8264	7x7v_2	A	189	0	0	0	0	2	0	0	9	0	0	0	0	14	0.07	42	0.22	63	0.33	7.4	2.32	1.54	1.88	1.42	1.47	0.38	1.48	0.39	84.78	61.72	86.44	60.8	269.26	119.12	258.7	119.41	9510.0	10435.0	925.0	0	0
8265	7x7v_2	B	226	0	0	0	0	0	0	0	0	0	0	0	0	3	0.01	96	0.42	59	0.26	7.4	2.32	0.82	1.89	0.53	1.47	1.14	1.48	1.02	84.78	34.33	86.44	34.19	269.26	203.91	258.7	190.06	10083.3	10982.0	898.7	0	0
8266	7x8p_0	A	117	0	0	0	0	1	0	0	1	0	0	0	0	52	0.44	9	0.08	25	0.21	6.3	5.04	-1.1	7.91	0.38	2.07	1.15	2.83	1.38	113.01	62.83	103.98	62.12	1392.01	115.55	1556.4	111.44	5842.8	6936.7	1093.9	1	0
8267	7x8p_0	B	436	0	0	0	0	0	0	0	0	0	0	0	0	30	0.07	229	0.53	82	0.19	6.3	5.04	6.1	7.91	7.54	2.07	0.93	2.83	1.37	113.01	33.4	103.98	44.99	1392.01	144.97	1556.4	412.64	19297.9	20521.0	1223.1	0	0
8268	7x8q_0	A	119	0	0	0	0	1	0	0	0	0	0	0	0	53	0.45	8	0.07	26	0.22	7.2	9.64	-0.88	9.09	-1.15	2.31	1.11	2.06	1.03	101.74	30.81	103.82	31.58	1681.42	68.94	1566.66	63.09	6825.7	7522.2	696.5	0	0
8269	7x8q_0	B	426	0	0	0	0	0	0	0	0	0	0	0	0	25	0.06	213	0.5	87	0.2	7.2	9.64	10.7	9.09	10.39	2.31	1.22	2.06	1.05	101.74	69.78	103.82	71.16	1681.42	300.55	1566.66	277.89	18943.3	19588.0	644.7	0	5
8270	7x8r_0	A	581	0	21	1	0	0	0	0	16	295	0	0	0	138	0.24	199	0.34	139	0.24	7.4	5.76	1.96	4.36	0.53	3.03	2.53	2.37	1.85	289.16	360.72	281.73	360.35	1304.56	646.32	1234.77	585.1	25811.2	27077.3	1266.1	0	9
8271	7x8r_0	B	126	0	0	0	0	0	0	0	0	0	0	0	0	9	0.07	56	0.44	34	0.27	7.4	5.76	3.94	4.36	3.9	3.03	0.56	2.37	0.6	289.16	31.27	281.73	31.33	1304.56	23.37	1234.77	24.51	5038.2	6363.4	1325.2	0	0
8272	7x8s_0	A	581	0	21	1	0	0	0	0	16	295	0	0	0	130	0.22	193	0.33	150	0.26	7.4	5.78	1.98	4.38	0.53	3.04	2.53	2.4	1.89	270.7	343.59	263.68	343.98	1336.3	674.88	1254.74	601.78	26498.8	27762.3	1263.5	0	8
8273	7x8s_0	B	126	0	0	0	0	0	0	0	0	0	0	0	0	6	0.05	50	0.4	34	0.27	7.4	5.78	3.94	4.38	3.9	3.04	0.56	2.4	0.6	270.7	31.54	263.68	31.59	1336.3	23.35	1254.74	24.51	5081.5	6486.3	1404.8	0	0
8274	7x8t_0	A	119	0	0	0	0	1	0	0	0	0	0	0	0	50	0.42	6	0.05	28	0.24	6.7	-0.14	-0.83	0.91	-0.29	2.2	1.15	2.62	1.28	187.1	29.99	180.42	28.89	2836.07	71.76	3255.83	81.11	6874.9	7763.6	888.7	0	0
8275	7x8t_0	B	435	0	0	0	0	0	0	0	0	0	0	0	0	39	0.09	212	0.49	79	0.18	6.7	-0.14	0.67	0.91	1.24	2.2	1.11	2.62	1.32	187.1	130.58	180.42	138.65	2836.07	739.05	3255.83	864.07	18919.1	19800.2	881.1	0	7
8276	7x8w_0	A	198	0	0	0	0	1	0	0	28	0	0	0	0	25	0.13	50	0.25	50	0.25	7.5	8.56	3.66	7.89	3.39	1.7	0.49	1.61	0.55	114.24	21.99	115.03	21.98	909.64	58.31	837.18	45.76	9891.4	10679.6	788.2	1	0
